manufacture_style,Code,product_name,大分類,中分類,小分類,Remark
MC747TA/A,24810094,45W Magsafe Power MC747,Accy,#Power Adapter,Magsafe,#N/A
MD564FE/A,24838073,APPLE USB SUPERDRIVE MD564,Accy,*CPU Accy,Super Drive,#N/A
MD592TA/A,24838077,45W Magsafe 2 Power MD592,Accy,#Power Adapter,Magsafe,#N/A
MD825FE/A,24854442,Lightning to VGA Adapter MD825,Accy,#Connector,Lightning,#N/A
MJ1L2FE/A,24944020,USB-C VGA Adapter MJ1L2,Accy,#Connector,USB-C,#N/A
MRMH2TA/A,13004407,Magic Keyboard繁中數字灰 MRMH2,Accy,*CPU Accy,Keyboard,4290
S5067ZM/A,13006741,AC+ for iPod touch S5067,Care,ACPP+,iPod ACPP+,2000
S5432ZM/A,13006742,AC+ for AW S3 S5432,Care,ACPP+,Aw S3 ACPP+,1690
S6446ZM/A,13007618,AC+ for HomePod S6446,Care,ACPP+,HomePod ACPP+,1400
MWTY2FE/A,13007876,44mm 氈布錶環 錨灰色 MWTY2,Accy,*Apple Watch Accy,Band 44mm Sport Loop,1600
MX832FE/A,13007882,44 氈布錶環XL 錨灰色 MX832,Accy,*Apple Watch Accy,Band 44mm Sport Loop,1600
MWRF2FE/A,13007912,40 時尚錶帶 黑色S MWRF2,Accy,*Apple Watch Accy,Band 40mm Leather Buckle,4600
MWRG2FE/A,13007913,40 時尚錶帶 黑色M MWRG2,Accy,*Apple Watch Accy,Band 40mm Leather Buckle,4600
MWRH2FE/A,13007914,40 時尚錶帶 黑色L MWRG2,Accy,*Apple Watch Accy,Band 40mm Leather Buckle,4600
MX432PA/A,13008675,Beats Solo3 WL 黑 MX432,Audio,Beats,Solo 3,6990
MX442PA/A,13008676,Beats Solo3 WL 玫瑰金 MX442,Audio,Beats,Solo 3,6990
MX472PA/A,13008679,Beats Solo3 WL 紅 MX472,Audio,Beats,Solo 3,6990
MWV92FE/A,13008772,"MBP 16"" 皮革護套 馬鞍棕 MWV92",Accy,*CPU Accy,"MBP 15"" Case",6290
